OsID	species	experiment_acc	treatment	log2FC	adj_pvalue			
Os01g0197100	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 6 hour	-1	0.004906273			
Os02g0120100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A vs IR24; none	1	0.006015073			
Os01g0883800	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 3 hour	-1	0.006066503			
Os05g0158500	oryza sativa	E-GEOD-38023	recovery from cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	-1	0.006334373			
Os01g0648000	oryza sativa	E-GEOD-38023	recovery from cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	-1	0.006366741			
Os01g0883800	oryza sativa	E-GEOD-44250	potassium deficient medium with 6 hour resupply vs potassium deficient medium with no resupply	1	0.006567707			
Os03g0762000	oryza sativa	E-MTAB-5524	fenclorim; 100 micromolar vs 4-chloro-6-methyl-2-phenylpyrimidine; 100 micromolar at 4 hour	1	0.006741792			
Os03g0103300	oryza sativa	E-GEOD-109341	sodium chloride; 100 millimolar vs none in Vialone Nano; root	1	0.007210554			
Os09g0441900	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 6 hour	-1	0.007838684			
Os02g0703600	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 510 hour	1	0.008599811			
Os01g0197100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO86 vs IR24; none	1	0.009147452			
Os02g0724000	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 8 hour vs control; sensitive to chilling	1	0.009508371			
Os03g0112700	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 48 hour vs control; sensitive to chilling	1	0.011033229			
Os02g0724000	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 8 hour vs control; tolerant to chilling	1	0.011109204			
Os02g0120100	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	1	0.011135494			
Os04g0401000	oryza sativa	E-GEOD-54243	3 day; 30 degree celsius vs 0 day; 20 degree celsius in hwi1	-1	0.011163202			
Os02g0120100	oryza sativa	E-GEOD-25206	chromium(6+); 100 micromolar vs water	-1	0.015352846			
Os02g0787300	oryza sativa	E-GEOD-42028	MADS29 OX overexpression vs wild type	1	0.016071531			
Os08g0509600	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 10 degree celsius	1	0.0160869			
Os05g0158500	oryza sativa	E-MTAB-1624	300 millimolar sodium chloride at 5 hours vs. 1 hour	1	0.016533016			
Os02g0787300	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; mock	-1	0.018898328			
Os05g0187500	oryza sativa	E-GEOD-21397	41 days after transplanting vs 13 days after transplanting	-1	0.01917771			
Os01g0197100	oryza sativa	E-MTAB-4406	moderately resistant to bacterial panicle blight disease vs susceptible to bacterial panicle blight disease in control at flowering stage	1	0.019357658			
Os08g0509600	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 2 hour vs control; tolerant to chilling	-1	0.020471896			
Os02g0703600	oryza sativa	E-GEOD-29967	Rathu Heenati; resistant variety to brown planthopper; 24 hour vs Rathu Heenati; resistant variety to brown planthopper; 0 hour	-1	0.022104736			
Os08g0509600	oryza sativa	E-MEXP-2311	mutant; internode pith parenchyma vs wild type; internode pith parenchyma	-1	0.024162136			
Os02g0703600	oryza sativa	E-GEOD-46867	pho2 knockout vs wild type in shoot	1	0.024170394			
Os03g0700400	oryza sativa	E-MTAB-1625	300 millimolar sodium chloride at 24 hours vs. 5 hours	1	0.028134627			
Os02g0703600	oryza sativa	E-GEOD-38023	recovery from cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	1	0.033440755			
Os02g0724000	oryza sativa	E-GEOD-22538	gall midge biotype 1 (GMB1) vs control	-1	0.034069035			
Os05g0158500	oryza sativa	E-GEOD-20522	lem mutant vs wild type	1	0.035632133			
Os01g0859300	oryza sativa	E-GEOD-116423	PROG1 deletion mutant vs wild type genotype in PROG1 cohort	1	0.035756309			
Os02g0703600	oryza sativa	E-MTAB-1624	300 millimolar sodium chloride at 24 hours vs. 5 hours	1	0.036462611			
Os01g0307500	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	-1	0.04260428			
Os03g0103300	oryza sativa	E-GEOD-109341	sodium chloride; 100 millimolar vs none in Baldo; leaf	-1	0.043499852	NA	NA	NA
